path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed5_r2,8k3k_d_sample_2.cif,0.10444
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed5_r2,8k3k_d_sample_4.cif,0.04054
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed5_r1,8k3k_d_sample_2.cif,0.30556
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed5_r1,8k3k_d_sample_4.cif,0.05015
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed5_r1,8k3k_d_sample_1.cif,0.06365
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed5_r0,8k3k_d_sample_2.cif,0.03903
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed5_r2,8k3k_d_sample_3.cif,0.18783
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed5_r0,8k3k_d_sample_4.cif,0.0474
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed5_r0,8k3k_d_sample_1.cif,0.04134
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed5_r0,8k3k_d_sample_0.cif,0.15831
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed5_r3,8k3k_d_sample_3.cif,0.19072
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed5_r2,8k3k_d_sample_0.cif,0.04653
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed5_r2,8k3k_d_sample_1.cif,0.10179
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed5_r3,8k3k_d_sample_1.cif,0.11778
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed5_r3,8k3k_d_sample_0.cif,0.0605
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed5_r0,8k3k_d_sample_3.cif,0.17776
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed5_r1,8k3k_d_sample_3.cif,0.07321
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed5_r3,8k3k_d_sample_4.cif,0.04901
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed5_r3,8k3k_d_sample_2.cif,0.18948
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seedfull_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seedfull_r1,8k3k_d_sample_3.cif,0.22355
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seedfull_r10/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seedfull_r10,8k3k_d_sample_1.cif,0.10248
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seedfull_r11/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seedfull_r11,8k3k_d_sample_2.cif,0.05408
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seedfull_r10/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seedfull_r10,8k3k_d_sample_3.cif,0.24341
