rank,zdock_score,dockq
711,601.447,0.022
712,601.295,0.008
713,601.193,0.009
714,601.068,0.018
715,600.879,0.022
716,600.765,0.015
717,600.641,0.007
718,600.291,0.008
719,600.228,0.009
720,600.186,0.013
721,599.94,0.017
722,599.709,0.013
723,599.575,0.022
724,599.566,0.019
725,599.533,0.01
726,599.506,0.029
727,599.497,0.015
728,599.39,0.014
729,599.075,0.017
730,598.899,0.015
731,598.895,0.017
732,598.881,0.008
733,598.577,0.008
734,598.475,0.017
735,598.264,0.006
736,598.179,0.02
737,598.137,0.016
738,598.018,0.008
739,598.0,0.015
740,597.965,0.01
741,597.883,0.012
742,597.578,0.008
743,597.304,0.012
744,597.27,0.04
745,597.262,0.017
746,597.248,0.014
747,597.23,0.013
748,597.185,0.019
749,596.787,0.011
750,596.751,0.015
751,596.732,0.012
752,596.717,0.02
753,596.659,0.007
754,596.115,0.055
755,595.925,0.009
756,595.921,0.018
757,595.794,0.018
758,595.721,0.015
759,595.374,0.011
760,595.353,0.02
761,595.247,0.019
762,595.131,0.01
763,595.01,0.037
764,594.922,0.014
765,594.904,0.011
766,594.613,0.01
767,594.517,0.022
768,594.293,0.015
769,594.171,0.016
770,594.129,0.021
771,594.067,0.014
772,594.039,0.015
773,594.02,0.015
774,593.85,0.016
775,593.734,0.01
776,593.72,0.02
777,593.595,0.012
778,593.441,0.016
779,593.438,0.011
780,593.372,0.007
781,593.279,0.011
782,593.039,0.01
783,592.957,0.018
784,592.912,0.075
785,592.887,0.013
786,592.885,0.01
787,592.512,0.012
788,592.44,0.011
789,592.287,0.01
790,592.103,0.016
791,592.06,0.013
792,591.987,0.016
793,591.971,0.013
794,591.851,0.014
795,591.727,0.01
796,591.701,0.016
797,591.629,0.011
798,591.625,0.013
799,591.456,0.013
800,591.411,0.014
801,591.159,0.012
802,591.1,0.009
803,591.032,0.014
804,590.852,0.013
805,590.851,0.015
806,590.738,0.011
807,590.672,0.027
808,590.642,0.013
809,590.554,0.02
810,590.51,0.011
811,590.407,0.026
812,590.303,0.013
813,590.225,0.018
814,590.164,0.04
815,590.156,0.009
816,590.07,0.019
817,590.054,0.014
818,590.014,0.011
819,589.57,0.01
820,589.544,0.05
821,589.381,0.014
822,589.242,0.01
823,589.227,0.016
824,589.186,0.007
825,589.105,0.008
826,589.022,0.011
827,588.87,0.011
828,588.659,0.012
829,588.509,0.012
830,588.47,0.018
831,588.364,0.029
832,587.984,0.016
833,587.849,0.011
834,587.842,0.01
835,587.687,0.015
836,587.655,0.017
837,587.626,0.009
838,587.527,0.008
839,587.41,0.01
840,587.378,0.011
841,587.355,0.013
842,587.166,0.019
843,587.149,0.01
844,587.045,0.016
845,587.041,0.01
846,586.913,0.012
847,586.848,0.01
848,586.832,0.029
849,586.29,0.018
850,586.182,0.019
851,586.172,0.013
852,585.922,0.009
853,585.919,0.012
854,585.897,0.032
855,585.799,0.018
856,585.794,0.011
857,585.611,0.015
858,585.598,0.019
859,585.593,0.011
860,585.461,0.013
861,585.425,0.02
862,585.402,0.007
863,585.297,0.013
864,585.239,0.008
865,585.079,0.01
866,584.973,0.014
867,584.928,0.014
868,584.861,0.007
869,584.762,0.01
870,584.76,0.007
871,584.659,0.012
872,584.494,0.014
873,584.443,0.009
874,584.397,0.014
875,584.175,0.019
876,584.017,0.013
877,583.752,0.029
878,583.634,0.009
879,583.61,0.013
880,583.609,0.022
881,583.38,0.008
882,583.236,0.011
883,582.886,0.011
884,582.752,0.007
885,582.698,0.008
886,582.686,0.019
887,582.664,0.013
888,582.661,0.014
889,582.58,0.014
890,582.449,0.013
891,582.35,0.027
892,582.29,0.008
893,582.246,0.026
894,581.674,0.014
895,581.527,0.014
896,581.517,0.013
897,581.481,0.013
898,581.439,0.016
899,581.309,0.02
900,581.29,0.069
901,581.271,0.009
902,581.116,0.01
903,581.077,0.02
904,580.984,0.01
905,580.982,0.02
906,580.874,0.017
907,580.855,0.014
908,580.725,0.011
909,580.715,0.007
910,580.587,0.036
911,579.821,0.02
912,579.777,0.009
913,579.698,0.01
914,579.354,0.038
915,579.29,0.007
916,579.063,0.029
917,579.0,0.021
918,578.998,0.01
919,578.939,0.021
920,578.785,0.011
921,578.639,0.011
922,578.414,0.015
923,578.3,0.012
924,578.267,0.021
925,578.181,0.015
926,578.136,0.018
927,577.941,0.015
928,577.814,0.018
929,577.806,0.022
930,577.797,0.033
931,577.634,0.018
932,577.538,0.008
933,577.493,0.02
934,577.49,0.014
935,577.26,0.011
936,577.212,0.01
937,577.047,0.011
938,576.993,0.009
939,576.646,0.056
940,576.634,0.014
941,576.632,0.011
942,576.514,0.019
943,576.452,0.01
944,576.332,0.009
945,576.129,0.017
946,576.122,0.01
947,576.085,0.018
948,576.072,0.009
949,576.025,0.009
950,575.982,0.008
951,575.902,0.016
952,575.505,0.016
953,575.229,0.012
954,575.202,0.014
955,575.043,0.022
956,574.943,0.011
957,574.871,0.016
958,574.867,0.011
959,574.837,0.017
960,574.774,0.012
961,574.581,0.011
962,574.51,0.023
963,574.383,0.018
964,574.33,0.011
965,574.252,0.019
966,574.227,0.021
967,574.216,0.014
968,574.163,0.025
969,574.109,0.007
970,574.005,0.018
971,573.906,0.017
972,573.896,0.021
973,573.878,0.017
974,573.844,0.013
975,573.771,0.011
